Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
3c2ea7e9-4eb5-44c3-b930-37ff60da8ca0,2020-08-16 05:18:25,Running,,6.96,1:14:47,10:45,5.58,1006.0,84,,"","",2020-08-16-051825.gpx
d92057d7-0bce-4980-8b78-4ab4276404db,2020-08-14 05:18:09,Running,,5.97,1:08:06,11:25,5.26,715.0,47,,"","",2020-08-14-051809.gpx
d4a2dc48-caa6-49ec-af19-0fb6c30497b2,2020-08-12 06:45:40,Running,,4.53,47:53,10:35,5.67,553.0,32,,"","",2020-08-12-064540.gpx
c932607d-e426-4a8f-9dba-1b534158ef5c,2020-08-10 05:25:10,Running,,8.52,1:29:31,10:31,5.71,1032.0,79,,"","",2020-08-10-052510.gpx
de4ed53f-afee-4327-86c3-17b97720e8a5,2020-08-08 06:02:47,Running,,4.96,55:51,11:16,5.33,598.0,34,,"","",2020-08-08-060247.gpx
de812269-3001-4670-a276-e63489858f3b,2020-08-08 05:21:21,Running,,2.27,25:46,11:22,5.28,278.0,45,,"","",2020-08-08-052121.gpx
42937f30-35b0-419b-8d56-c65e7332a295,2020-08-06 05:29:53,Running,,6.00,1:06:07,11:01,5.44,732.0,51,,"","",2020-08-06-052953.gpx
e60a30bc-cf62-470a-a9b2-990d27659325,2020-08-04 05:25:41,Running,,6.01,1:06:52,11:08,5.39,722.0,48,,"","",2020-08-04-052541.gpx
51ea7ed1-38c7-46c4-a7ad-7ea9cc029d3b,2020-08-02 05:17:16,Running,,6.89,1:12:29,10:31,5.70,844.0,85,,"","",2020-08-02-051716.gpx
5ba9d3b9-e097-4787-b500-f5f0ff466068,2020-07-31 18:05:46,Running,,4.95,57:07,11:32,5.20,604.0,32,,"","",2020-07-31-180546.gpx
e0f57f7e-e451-40a3-881f-e6e47c0e208f,2020-07-30 05:39:35,Running,,5.50,1:04:54,11:48,5.08,656.0,74,,"","",2020-07-30-053935.gpx
d689c21e-b867-451c-af1f-8fdb340f1ccd,2020-07-28 06:09:01,Running,,5.53,1:04:49,11:43,5.12,670.0,71,,"","",2020-07-28-060901.gpx
75164966-e619-408a-a3f6-ca90dffc7936,2020-07-26 18:38:41,Running,,4.99,59:35,11:56,5.03,591.0,43,,"","",2020-07-26-183841.gpx
85d42ce8-a1c2-44c7-b35f-b644d0a4d2eb,2020-07-25 06:24:04,Running,,6.01,1:06:56,11:08,5.39,726.0,49,,"","",2020-07-25-062404.gpx
1218b3bf-8e5a-41a4-ac21-54908e5e5820,2020-07-23 17:19:33,Running,,4.99,59:01,11:50,5.07,600.0,41,,"","",2020-07-23-171933.gpx
95c05b72-7eb2-4897-be5e-ed98578205fb,2020-07-21 11:55:14,Running,,2.34,59:53,25:38,2.34,223.0,17,,"","",2020-07-21-115514.gpx
ae980b26-068b-47bb-a05b-1d8c9592f177,2020-07-20 20:46:16,Running,,0.07,1:13:15,1011:26,0.06,107.0,0,,"","",2020-07-20-204616.gpx
23adb272-01d2-4ec5-844d-104bbde748c6,2020-07-19 07:54:23,Running,,0.04,51:25,1231:39,0.05,77.0,0,,"","",2020-07-19-075423.gpx
